Область~ТАО~Кількість виборців
Дніпропетровська область~Жовтневий р-н~107587
Дніпропетровська область~Інгулецький р-н~44932
Дніпропетровська область~Саксаганський р-н~107807
Дніпропетровська область~Тернівський р-н~68577
Дніпропетровська область~Центрально-Міський р-н~72795
Донецька область~Амвросіївський р-н~36452
Донецька область~Артемівський р-н~64854
Донецька область~Великоновосілківський р-н~32242
Донецька область~Волноваський р-н~83434
Донецька область~Володарський р-н~22907
Донецька область~Добропільський р-н~13129
Донецька область~Костянтинівський р-н~14608
Донецька область~Красноармійський р-н~24121
Донецька область~Мар’їнський р-н~65890
Донецька область~Новоазовський р-н~22278
Донецька область~Олександрівський р-н~15139
Донецька область~Першотравневий р-н~20847
Донецька область~Слов’янський р-н~25517
Донецька область~Старобешівський р-н~40630
Донецька область~Тельманівський р-н~11975
Донецька область~Шахтарський р-н~15271
Донецька область~Ясинуватський р-н~21757
Донецька область~м.Авдіївка~27405
Донецька область~м.Артемівськ~80499
Донецька область~м.Вугледар~13031
Донецька область~м.Дебальцеве~21377
Донецька область~м.Дзержинськ~54472
Донецька область~м.Димитров~39361
Донецька область~м.Добропілля~50483
Донецька область~м.Докучаєвськ~17909
Донецька область~м.Дружківка~52349
Донецька область~м.Єнакієве~90066
Донецька область~м.Жданівка~10026
Донецька область~м.Кіровське~20045
Донецька область~м.Костянтинівка~63336
Донецька область~м.Краматорськ~154947
Донецька область~м.Красний Лиман~38683
Донецька область~м.Красноармійськ~60281
Донецька область~м.Новогродівка~11858
Донецька область~м.Селидове~43983
Донецька область~м.Слов’янськ~102661
Донецька область~м.Сніжне~52751
Донецька область~м.Торез~62740
Донецька область~м.Харцизьк~85524
Донецька область~м.Шахтарськ~50763
Донецька область~м.Ясинувата~26944
Донецька область~м.Горлівка~211046
Донецька область~Калінінський р-н~67314
Донецька область~Микитівський р-н~55065
Донецька область~Центрально-Міський р-н~88667
Донецька область~м.Донецьк~691552
Донецька область~Будьоннівський р-н~69136
Донецька область~Ворошиловський р-н~56904
Донецька область~Калінінський р-н~68531
Донецька область~Київський р-н~91260
Донецька область~Кіровський р-н~119229
Донецька область~Куйбишевський р-н~81250
Донецька область~Ленінський р-н~71573
Донецька область~Петровський р-н~54516
Донецька область~Пролетарський р-н~79153
Донецька область~м.Макіївка~294311
Донецька область~Гірницький р-н~82198
Донецька область~Кіровський р-н~40003
Донецька область~Совєтський р-н~48895
Донецька область~Центрально-Міський р-н~63038
Донецька область~Червоногвардійський р-н~60177
Донецька область~м.Маріуполь~341091
Донецька область~Жовтневий р-н~122824
Донецька область~Іллічівський р-н~81295
Донецька область~Орджонікідзевський р-н~91166
Донецька область~Приморський р-н~45806
Житомирська область~Андрушівський р-н~27019
Житомирська область~Баранівський р-н~32568
Житомирська область~Бердичівський р-н~25493
Житомирська область~Брусилівський р-н~12482
Житомирська область~Володарсько-Волинський р-н~27249
Житомирська область~Ємільчинський р-н~27000
Житомирська область~Житомирський р-н~54489
Житомирська область~Коростенський р-н~21799
Житомирська область~Коростишівський р-н~32345
Житомирська область~Лугинський р-н~13444
Житомирська область~Любарський р-н~21552
Житомирська область~Малинський р-н~15626
Житомирська область~Народицький р-н~6659
Житомирська область~Новоград-Волинський р-н~35498
Житомирська область~Овруцький р-н~45333
Житомирська область~Олевський р-н~33156
Житомирська область~Попільнянський р-н~25563
Житомирська область~Радомишльський р-н~30226
Житомирська область~Романівський р-н~22958
Житомирська область~Ружинський р-н~23215
Житомирська область~Червоноармійський р-н~17081
Житомирська область~Черняхівський р-н~23548
Житомирська область~Чуднівський р-н~29147
Житомирська область~м.Бердичів~65008
Житомирська область~м.Коростень~51120
Житомирська область~м.Малин~22200
Житомирська область~м.Новоград-Волинський~44851
Житомирська область~м.Житомир~214812
Житомирська область~Богунський р-н~120870
Житомирська область~Корольовський р-н~93942
Закарпатська область~Берегівський р-н~41085
Закарпатська область~Великоберезнянський р-н~20672
Закарпатська область~Виноградівський р-н~89955
Закарпатська область~Воловецький р-н~19638
Закарпатська область~Іршавський р-н~75757
Закарпатська область~Міжгірський р-н~37754
Закарпатська область~Мукачівський р-н~78618
Закарпатська область~Перечинський р-н~23867
Закарпатська область~Рахівський р-н~69261
Закарпатська область~Свалявський р-н~41152
Закарпатська область~Тячівський р-н~127239
Закарпатська область~Ужгородський р-н~54788
Закарпатська область~Хустський р-н~71941
Закарпатська область~м.Берегове~20192
Закарпатська область~м.Мукачеве~63119
Закарпатська область~м.Ужгород~95985
Закарпатська область~м.Хуст~25001
Закарпатська область~м.Чоп~7265
Запорізька область~Бердянський р-н~22793
Запорізька область~Василівський р-н~55623
Запорізька область~Великобілозерський р-н~6253
Запорізька область~Веселівський р-н~18688
Запорізька область~Вільнянський р-н~41441
Запорізька область~Гуляйпільський р-н~23315
Запорізька область~Запорізький р-н~46454
Запорізька область~Кам’янсько-Дніпровський р-н~32700
Запорізька область~Куйбишевський р-н~19006
Запорізька область~Мелітопольський р-н~42160
Запорізька область~Михайлівський р-н~23459
Запорізька область~Новомиколаївський р-н~12988
Запорізька область~Оріхівський р-н~39353
Запорізька область~Пологівський р-н~33767
Запорізька область~Приазовський р-н~22630
Запорізька область~Приморський р-н~25654
Запорізька область~Розівський р-н~8055
Запорізька область~Токмацький р-н~18515
Запорізька область~Чернігівський р-н~15386
Запорізька область~Якимівський р-н~27681
Запорізька область~м.Бердянськ~95380
Запорізька область~м.Енергодар~44874
Запорізька область~м.Мелітополь~125062
Запорізька область~м.Токмак~28838
Запорізька область~м.Запоріжжя~616528
Запорізька область~Жовтневий р-н~56578
Запорізька область~Заводський р-н~48430
Запорізька область~Комунарський р-н~106711
Запорізька область~Ленінський р-н~115470
Запорізька область~Орджонікідзевський р-н~74095
Запорізька область~Хортицький р-н~93117
Запорізька область~Шевченківський р-н~122127
Івано-Франківська область~Богородчанський р-н~54235
Івано-Франківська область~Верховинський р-н~22952
Івано-Франківська область~Галицький р-н~37421
Івано-Франківська область~Городенківський р-н~43893
Івано-Франківська область~Долинський р-н~55157
Івано-Франківська область~Калуський р-н~47534
Івано-Франківська область~Коломийський р-н~80682
Івано-Франківська область~Косівський р-н~68731
Івано-Франківська область~Надвірнянський р-н~85700
Івано-Франківська область~Рогатинський р-н~35398
Івано-Франківська область~Рожнятівський р-н~57881
Івано-Франківська область~Снятинський р-н~52405
Івано-Франківська область~Тисменицький р-н~68247
Івано-Франківська область~Тлумацький р-н~37518
Івано-Франківська область~м.Болехів~16190
Івано-Франківська область~м.Бурштин~12083
Івано-Франківська область~м.Івано-Франківськ~183568
Івано-Франківська область~м.Калуш~53830
Івано-Франківська область~м.Коломия~45396
Івано-Франківська область~м.Яремче~17238
Київська область~Баришівський р-н~31698
Київська область~Білоцерківський р-н~42715
Київська область~Богуславський р-н~29005
Київська область~Бориспільський р-н~46051
Київська область~Бородянський р-н~45910
Київська область~Броварський р-н~63240
Київська область~Васильківський р-н~55468
Київська область~Вишгородський р-н~63970
Київська область~Володарський р-н~16252
Київська область~Згурівський р-н~15617
Київська область~Іванківський р-н~24191
Київська область~Кагарлицький р-н~27760
Київська область~Києво-Святошинський р-н~146536
Київська область~Макарівський р-н~34186
Київська область~Миронівський р-н~30560
Київська область~Обухівський р-н~33045
Київська область~Переяслав-Хмельницький р-н~24806
Київська область~Поліський р-н~4643
Київська область~Рокитнянський р-н~26279
Київська область~Сквирський р-н~31551
Київська область~Ставищенський р-н~20706
Київська область~Таращанський р-н~25127
Київська область~Тетіївський р-н~27449
Київська область~Фастівський р-н~27519
Київська область~Яготинський р-н~31791
Київська область~м.Березань~13555
Київська область~м.Біла Церква~159310
Київська область~м.Бориспіль~50837
Київська область~м.Бровари~81030
Київська область~м.Буча~25915
Київська область~м.Васильків~34731
Київська область~м.Ірпінь~64123
Київська область~м.Обухів~29845
Київська область~м.Переяслав-Хмельницький~25159
Київська область~м.Ржищів~6132
Київська область~м.Славутич~19085
Київська область~м.Фастів~42818
Кіровоградська область~Бобринецький р-н~20302
Кіровоградська область~Вільшанський р-н~10327
Кіровоградська область~Гайворонський р-н~29827
Кіровоградська область~Голованівський р-н~23728
Кіровоградська область~Добровеличківський р-н~26966
Кіровоградська область~Долинський р-н~26089
Кіровоградська область~Знам’янський р-н~19962
Кіровоградська область~Кіровоградський р-н~29318
Кіровоградська область~Компаніївський р-н~12105
Кіровоградська область~Маловисківський р-н~32182
Кіровоградська область~Новгородківський р-н~12354
Кіровоградська область~Новоархангельський р-н~20023
Кіровоградська область~Новомиргородський р-н~23327
Кіровоградська область~Новоукраїнський р-н~31647
Кіровоградська область~Олександрівський р-н~23913
Кіровоградська область~Олександрійський р-н~25331
Кіровоградська область~Онуфріївський р-н~14994
Кіровоградська область~Петрівський р-н~18944
Кіровоградська область~Світловодський р-н~10759
Кіровоградська область~Ульяновський р-н~18997
Кіровоградська область~Устинівський р-н~10457
Кіровоградська область~м.Знам’янка~26002
Кіровоградська область~м.Олександрія~72486
Кіровоградська область~м.Світловодськ~41325
Кіровоградська область~м.Кіровоград~198495
Кіровоградська область~Кіровський р-н~131131
Кіровоградська область~Ленінський р-н~67364
Луганська область~Антрацитівський р-н~25188
Луганська область~Біловодський р-н~18612
Луганська область~Білокуракинський р-н~16350
Луганська область~Краснодонський р-н~22288
Луганська область~Кремінський р-н~34632
Луганська область~Лутугинський р-н~54105
Луганська область~Марківський р-н~12996
Луганська область~Міловський р-н~10902
Луганська область~Новоайдарський р-н~31666
Луганська область~Новопсковський р-н~26139
Луганська область~Перевальський р-н~51593
Луганська область~Попаснянський р-н~61824
Луганська область~Сватівський р-н~28470
Луганська область~Свердловський р-н~9585
Луганська область~Слов’яносербський р-н~37282
Луганська область~Станично-Луганський р-н~40177
Луганська область~Старобільський р-н~40902
Луганська область~Троїцький р-н~15419
Луганська область~м.Алчевськ~85703
Луганська область~м.Антрацит~60543
Луганська область~м.Брянка~39912
Луганська область~м.Кіровськ~25998
Луганська область~м.Красний Луч~97261
Луганська область~м.Краснодон~81234
Луганська область~м.Лисичанськ~91701
Луганська область~м.Первомайськ~30387
Луганська область~м.Ровеньки~65503
Луганська область~м.Рубіжне~47498
Луганська область~м.Свердловськ~78112
Луганська область~м.Сєвєродонецьк~96054
Луганська область~м.Стаханов~80289
Луганська область~м.Луганськ~352806
Луганська область~Артемівський р-н~121962
Луганська область~Жовтневий р-н~136779
Луганська область~Кам’янобрідський р-н~33369
Луганська область~Ленінський р-н~60696
Львівська область~Бродівський р-н~46663
Львівська область~Буський р-н~36899
Львівська область~Городоцький р-н~56656
Львівська область~Дрогобицький р-н~58517
Львівська область~Жидачівський р-н~56450
Львівська область~Жовківський р-н~82264
Львівська область~Золочівський р-н~54271
Львівська область~Кам’янка-Бузький р-н~45896
Львівська область~Миколаївський р-н~50141
Львівська область~Мостиський р-н~45441
Львівська область~Перемишлянський р-н~33550
Львівська область~Пустомитівський р-н~94254
Львівська область~Радехівський р-н~37147
Львівська область~Самбірський р-н~53633
Львівська область~Сколівський р-н~36848
Львівська область~Сокальський р-н~71988
Львівська область~Старосамбірський р-н~58902
Львівська область~Стрийський р-н~47948
Львівська область~Турківський р-н~37965
Львівська область~Яворівський р-н~95637
Львівська область~м.Борислав~29581
Львівська область~м.Дрогобич~70270
Львівська область~м.Моршин~3817
Львівська область~м.Новий Розділ~19152
Львівська область~м.Самбір~27387
Львівська область~м.Стрий~43927
Львівська область~м.Трускавець~16646
Львівська область~м.Червоноград~63775
Львівська область~м.Львів~598088
Львівська область~Галицький р-н~45487
Львівська область~Залізничний р-н~108804
Львівська область~Личаківський р-н~85863
Львівська область~Сихівський р-н~119444
Львівська область~Франківський р-н~113077
Львівська область~Шевченківський р-н~125413
Миколаївська область~Арбузинський р-н~17183
Миколаївська область~Баштанський р-н~29889
Миколаївська область~Березанський р-н~18816
Миколаївська область~Березнегуватський р-н~15703
Миколаївська область~Братський р-н~13805
Миколаївська область~Веселинівський р-н~18410
Миколаївська область~Вознесенський р-н~24463
Миколаївська область~Врадіївський р-н~14590
Миколаївська область~Доманівський р-н~19618
Миколаївська область~Єланецький р-н~12261
Миколаївська область~Жовтневий р-н~42546
Миколаївська область~Казанківський р-н~17003
Миколаївська область~Кривоозерський р-н~19218
Миколаївська область~Миколаївський р-н~27092
Миколаївська область~Новобузький р-н~23836
Миколаївська область~Новоодеський р-н~28137
Миколаївська область~Очаківський р-н~12546
Миколаївська область~Первомайський р-н~24649
Миколаївська область~Снігурівський р-н~30931
Миколаївська область~м.Вознесенськ~33835
Миколаївська область~м.Очаків~13437
Миколаївська область~м.Первомайськ~57248
Миколаївська область~м.Южноукраїнськ~32903
Миколаївська область~м.Миколаїв~381171
Миколаївська область~Заводський р-н~100824
Миколаївська область~Корабельний р-н~66720
Миколаївська область~Ленінський р-н~106062
Миколаївська область~Центральний р-н~107565
Одеська область~Ананьївський р-н~21124
Одеська область~Арцизький р-н~35939
Одеська область~Балтський р-н~32755
Одеська область~Березівський р-н~25922
Одеська область~Білгород-Дністровський р-н~45772
Одеська область~Біляївський р-н~86983
Одеська область~Болградський р-н~53793
Одеська область~Великомихайлівський р-н~22563
Одеська область~Іванівський р-н~22545
Одеська область~Ізмаїльський р-н~39801
Одеська область~Кілійський р-н~42842
Одеська область~Кодимський р-н~24049
Одеська область~Комінтернівський р-н~54536
Одеська область~Котовський р-н~20769
Одеська область~Красноокнянський р-н~15392
Одеська область~Любашівський р-н~23895
Одеська область~Миколаївський р-н~13849
Одеська область~Овідіопольський р-н~59295
Одеська область~Ренійський р-н~31493
Одеська область~Роздільнянський р-н~45689
Одеська область~Савранський р-н~15128
Одеська область~Саратський р-н~34725
Одеська область~Тарутинський р-н~31478
Одеська область~Татарбунарський р-н~29675
Одеська область~Фрунзівський р-н~14772
Одеська область~Ширяївський р-н~19909
Одеська область~м.Білгород-Дністровський~50559
Одеська область~м.Ізмаїл~63369
Одеська область~м.Іллічівськ~53641
Одеська область~м.Котовськ~32422
Одеська область~м.Теплодар~7790
Одеська область~м.Южне~19768
Одеська область~м.Одеса~730252
Одеська область~Київський р-н~175049
Одеська область~Малиновський р-н~179249
Одеська область~Приморський р-н~180337
Одеська область~Суворовський р-н~195617
Полтавська область~Великобагачанський р-н~20375
Полтавська область~Гадяцький р-н~26691
Полтавська область~Глобинський р-н~41069
Полтавська область~Гребінківський р-н~19253
Полтавська область~Диканський р-н~16401
Полтавська область~Зіньківський р-н~28711
Полтавська область~Карлівський р-н~30132
Полтавська область~Кобеляцький р-н~37069
Полтавська область~Козельщинський р-н~16548
Полтавська область~Котелевський р-н~15737
Полтавська область~Кременчуцький р-н~36263
Полтавська область~Лохвицький р-н~34922
Полтавська область~Лубенський р-н~27892
Полтавська область~Машівський р-н~16193
Полтавська область~Миргородський р-н~25908
Полтавська область~Новосанжарський р-н~27971
Полтавська область~Оржицький р-н~20300
Полтавська область~Пирятинський р-н~26240
Полтавська область~Полтавський р-н~54137
Полтавська область~Решетилівський р-н~21581
Полтавська область~Семенівський р-н~20951
Полтавська область~Хорольський р-н~29056
Полтавська область~Чорнухинський р-н~10152
Полтавська область~Чутівський р-н~18566
Полтавська область~Шишацький р-н~16982
Полтавська область~м.Гадяч~17697
Полтавська область~м.Комсомольськ~42614
Полтавська область~м.Лубни~40210
Полтавська область~м.Миргород~32652
Полтавська область~м.Кременчук~176057
Полтавська область~Автозаводський р-н~118390
Полтавська область~Крюківський р-н~57667
Полтавська область~м.Полтава~237640
Полтавська область~Київський р-н~85593
Полтавська область~Ленінський р-н~44537
Полтавська область~Октябрський р-н~107510
Рівненська область~Березнівський р-н~47140
Рівненська область~Володимирецький р-н~44925
Рівненська область~Гощанський р-н~27560
Рівненська область~Демидівський р-н~11564
Рівненська область~Дубенський р-н~34707
Рівненська область~Дубровицький р-н~36977
Рівненська область~Зарічненський р-н~24900
Рівненська область~Здолбунівський р-н~45314
Рівненська область~Корецький р-н~27121
Рівненська область~Костопільський р-н~50920
Рівненська область~Млинівський р-н~29640
Рівненська область~Острозький р-н~21674
Рівненська область~Радивилівський р-н~29056
Рівненська область~Рівненський р-н~73020
Рівненська область~Рокитнівський р-н~38497
Рівненська область~Сарненський р-н~73079
Рівненська область~м.Дубно~28983
Рівненська область~м.Кузнецовськ~31089
Рівненська область~м.Острог~10380
Рівненська область~м.Рівне~189575
Сумська область~Білопільський р-н~37864
Сумська область~Буринський р-н~23617
Сумська область~Великописарівський р-н~16885
Сумська область~Глухівський р-н~19515
Сумська область~Конотопський р-н~25201
Сумська область~Краснопільський р-н~22514
Сумська область~Кролевецький р-н~30933
Сумська область~Лебединський р-н~16408
Сумська область~Липоводолинський р-н~15398
Сумська область~Недригайлівський р-н~20357
Сумська область~Охтирський р-н~21613
Сумська область~Путивльський р-н~22218
Сумська область~Роменський р-н~30144
Сумська область~Середино-Будський р-н~12982
Сумська область~Сумський р-н~49075
Сумська область~Тростянецький р-н~28748
Сумська область~Шосткинський р-н~18049
Сумська область~Ямпільський р-н~19805
Сумська область~м.Глухів~25137
Сумська область~м.Конотоп~65526
Сумська область~м.Лебедин~22129
Сумська область~м.Охтирка~37655
Сумська область~м.Ромни~39248
Сумська область~м.Шостка~59747
Сумська область~м.Суми~238803
Сумська область~Зарічний р-н~122157
Сумська область~Ковпаківський р-н~116646
Тернопільська область~Бережанський р-н~17499
Тернопільська область~Борщівський р-н~53779
Тернопільська область~Бучацький р-н~47665
Тернопільська область~Гусятинський р-н~48354
Тернопільська область~Заліщицький р-н~37755
Тернопільська область~Збаразький р-н~44144
Тернопільська область~Зборівський р-н~33541
Тернопільська область~Козівський р-н~29017
Тернопільська область~Кременецький р-н~37782
Тернопільська область~Лановецький р-н~23335
Тернопільська область~Монастириський р-н~23248
Тернопільська область~Підволочиський р-н~33757
Тернопільська область~Підгаєцький р-н~15196
Тернопільська область~Теребовлянський р-н~50834
Тернопільська область~Тернопільський р-н~52961
Тернопільська область~Чортківський р-н~36433
Тернопільська область~Шумський р-н~25163
Тернопільська область~м.Бережани~14640
Тернопільська область~м.Кременець~16211
Тернопільська область~м.Тернопіль~182981
Тернопільська область~м.Чортків~22477
Харківська область~Балаклійський р-н~66778
Харківська область~Барвінківський р-н~20428
Харківська область~Близнюківський р-н~16917
Харківська область~Богодухівський р-н~32554
Харківська область~Борівський р-н~14513
Харківська область~Валківський р-н~25719
Харківська область~Великобурлуцький р-н~18382
Харківська область~Вовчанський р-н~38615
Харківська область~Дворічанський р-н~14951
Харківська область~Дергачівський р-н~80879
Харківська область~Зачепилівський р-н~12222
Харківська область~Зміївський р-н~60973
Харківська область~Золочівський р-н~23748
Харківська область~Ізюмський р-н~14572
Харківська область~Кегичівський р-н~16336
Харківська область~Коломацький р-н~6213
