ТАО	Координати
Запорізька обл., Мелітопольська районна рада	34.90141896,46.83858498 34.92638784,46.82197602 34.93689804,46.822698 34.943985,46.78299702 34.92986688,46.78188597 34.93038996,46.732401 34.93835784,46.71742401 35.00007516,46.72400796 35.07887196,46.73204802 35.14040784,46.73316204 35.139627,46.75476699 35.17804584,46.75808997 35.18227908,46.73327103 35.205048,46.73013498 35.20860984,46.73726298 35.22170196,46.737459 35.22490308,46.719855 35.25904404,46.72300896 35.25227604,46.73326302 35.25619104,46.74870396 35.27217792,46.73984103 35.34626016,46.728225 35.30671488,46.69057197 35.34122196,46.68739704 35.39669292,46.70019198 35.39225304,46.71805203 35.44716492,46.72476099 35.45286084,46.74218103 35.49980412,46.74566304 35.53400484,46.74940803 35.54220312,46.79150697 35.612505,46.80296703 35.60750712,46.89596304 35.61533892,46.89511002 35.61522984,46.87936902 35.64412596,46.880055 35.64356616,46.89536004 35.69281092,46.89601101 35.69187816,46.92976704 35.723844,46.93215897 35.72321796,46.95219 35.74729116,46.95408801 35.74736604,46.96195797 35.78529312,46.96486398 35.766234,46.99658601 35.76439188,46.99910502 35.723475,46.996038 35.72385696,46.99063098 35.69281812,46.98776799 35.69016708,47.00042397 35.68120884,47.04471297 35.67237012,47.04559398 35.66683908,47.06663796 35.62479216,47.10179304 35.60176296,47.102319 35.59097412,47.09716704 35.50555584,47.10154203 35.50221792,47.08654704 35.49990492,47.08637298 35.40251484,47.08058796 35.410329,47.09324196 35.39263392,47.09518704 35.40130488,47.11232304 35.36864712,47.11862403 35.37774612,47.13057999 35.35809192,47.13323499 35.34837804,47.12219001 35.32096188,47.12814702 35.31891708,47.09625498 35.29001016,47.09796102 35.28762588,47.07304596 35.25093216,47.07714699 35.24887692,47.09090502 35.21449296,47.08752804 35.22619692,47.02073499 35.20885608,47.02286997 35.18541612,47.02062096 35.16681492,47.00005902 35.12986812,46.99648098 35.13417408,46.97256303 35.11164888,46.94284602 35.115003,46.91961999 35.06094504,46.91363499 35.06662188,46.88204796 35.012304,46.87671897 35.01468216,46.86138504 34.99986204,46.85962104 34.95378708,46.85479497 34.94810484,46.87895502 34.92076284,46.87559397 34.90141896,46.83858498 
Донецька обл., Ясинуватська міська рада	37.87254288,48.11076801 37.87300908,48.111597 37.87361496,48.11231601 37.87522596,48.11199903 37.87683696,48.11195196 37.87737516,48.11208597 37.87845012,48.11253498 37.878921,48.11289399 37.87945884,48.113073 37.87999596,48.113028 37.88053308,48.11311701 37.88160696,48.11302602 37.88268012,48.11243904 37.88301492,48.11207904 37.88388612,48.11135796 37.88428716,48.11063796 37.88435304,48.10991796 37.88394804,48.10919796 37.88307288,48.10848003 37.88226612,48.10776102 37.88186112,48.10704201 37.88017704,48.10447998 37.879569,48.10304097 37.87893,48.10052799 37.87858296,48.09967596 37.88352288,48.09889998 37.88589312,48.10759101 37.89066096,48.116304 37.89429192,48.12597 37.89645912,48.12930801 37.89985896,48.12741396 37.90301796,48.12926301 37.90213596,48.133107 37.90464696,48.13537797 37.90204992,48.144663 37.893537,48.14486604 37.89350784,48.14400402 37.89231084,48.14371296 37.887507,48.14388099 37.88760888,48.13917399 37.89194112,48.13857297 37.89268092,48.13608798 37.89215208,48.136221 37.89055008,48.13631298 37.89009108,48.13534503 37.89011196,48.13438302 37.88817408,48.1338 37.88812512,48.13378497 37.88771796,48.13414497 37.88548092,48.13401699 37.88236008,48.13192098 37.88212392,48.131874 37.880379,48.13237197 37.878768,48.13313904 37.87829892,48.13349904 37.87722684,48.13458003 37.87629012,48.13602102 37.87593516,48.13646202 37.87065684,48.13629003 37.87143984,48.133953 37.87212816,48.13281099 37.87181784,48.13223904 37.87090308,48.13287804 37.87034292,48.13356699 37.86916392,48.13387101 37.86890004,48.13388001 37.86859584,48.13337898 37.86873192,48.13260696 37.86879492,48.13206201 37.86842016,48.131487 37.86801588,48.13112799 37.86747804,48.13085898 37.86425496,48.13113303 37.86264288,48.13153902 37.86190596,48.13226001 37.86150492,48.13334001 37.861776,48.13406001 37.86217884,48.13441902 37.86271704,48.13468803 37.86339096,48.13545204 37.86352596,48.13581204 37.86366816,48.13941096 37.86246216,48.14116704 37.86192612,48.14152803 37.86085116,48.14166402 37.85977584,48.14189001 37.85923908,48.141846 37.85816304,48.14162199 37.85661684,48.14085897 37.85621292,48.14049996 37.85567508,48.14027496 37.85460012,48.14005203 37.85406192,48.14009703 37.85305608,48.14072802 37.85030316,48.14181099 37.849968,48.14217099 37.84867812,48.14212401 37.84854996,48.14028702 37.83639204,48.14027199 37.83152088,48.13637004 37.80544896,48.115557 37.81997712,48.11656302 37.83480588,48.11842701 37.84352292,48.12193899 37.85123304,48.11324202 37.85416992,48.11059602 37.86089796,48.11002101 37.86050484,48.113334 37.86625008,48.11381901 37.86968016,48.11053599 37.87254288,48.11076801 
м.Дніпропетровськ, Бабушкінська районна у місті Дніпропетровську рада	34.9651042875387,48.3970886930498 34.9651216512299,48.3964434193271 34.9659256287784,48.3965145977678 34.9659539162594,48.395548897383 34.9663383134293,48.39450694442 34.9664946842176,48.3939800132274 34.9668015796734,48.3929452305211 34.966881993624,48.3925663141509 34.9673525318864,48.3903476212472 34.9733806288722,48.3909108285993 34.9732572170588,48.3897043992086 34.9767112174869,48.3895569322424 34.9767907666163,48.3912564364698 34.9818980517464,48.3920575693059 34.9827965946606,48.3893551219051 34.9828074443366,48.3888288769773 34.9829869806196,48.3884270103281 34.9832154735499,48.3872930533676 34.9822515006128,48.3842959018161 34.9806031157077,48.3819293319077 34.9800266976157,48.3812504695725 34.9773779525698,48.3805588569345 34.9766589016949,48.3798160430154 34.9758705602165,48.3790894375627 34.9754037720767,48.3787430323339 34.9746991957088,48.3791040685407 34.9738759013075,48.3786302841745 34.9730513685993,48.3778791830786 34.9718333071596,48.3769293660058 34.9714619510469,48.3764258658555 34.9708448536114,48.3757096037874 34.9699240118431,48.375034433698 34.9698285268616,48.373696994598 34.9702109541016,48.3720905883461 34.9708676847863,48.3701831668971 34.9711726140553,48.3688175456905 34.9762282674828,48.3693119824028 34.976599596292,48.3675427444342 34.9888743547221,48.3676039533745 34.991427115315,48.367349551091 34.9905322512539,48.3649017907366 34.9986844081795,48.3648224669578 35.0064302191022,48.3649684272643 35.0058042624973,48.3676834132389 35.0078530032362,48.3677941996075 35.0070133259286,48.3694787927736 35.0075182147792,48.3721841204257 35.0084845627711,48.3753404299056 35.0094224687737,48.377106335102 35.0111233839083,48.3791707679476 35.0125781714243,48.3796700294196 35.0155903330827,48.3835345702869 35.0158136516708,48.3843890113154 35.0163075892246,48.386913767922 35.0174178303236,48.3885886087282 35.0252522922938,48.388779074805 35.0337574740596,48.3903325681271 35.03663623484,48.3895991342572 35.0372403693574,48.3892155688953 35.038610253245,48.3885464040635 35.0409988611756,48.3884899171036 35.0416942479361,48.3884477092622 35.0414881540416,48.3871136383429 35.0456193674767,48.3875080917403 35.0492001490225,48.3879049191571 35.054182166535,48.3884293609999 35.0558709886835,48.3886461128965 35.0570966688486,48.388868516132 35.0531515617619,48.3908589345944 35.0472963667605,48.393574900785 35.0408962606512,48.3967289634995 35.0405627581294,48.3963765883642 35.0396720330237,48.3971921818258 35.0246565228687,48.4157305369884 35.0237460627959,48.4169676093341 35.0231660194178,48.4184938254756 35.0227613653102,48.419432786232 35.0228049127373,48.4199795766088 35.0235296851197,48.4224656887335 35.0243674960888,48.4243384724372 35.0246868558398,48.4247481737029 35.0288230056286,48.4253918780689 35.0289821196574,48.4254378271869 35.0298030481478,48.4256688311591 35.0305122114326,48.4259202430075 35.0346641448334,48.4274071469676 35.0371900518352,48.428271525814 35.0389443029204,48.4288718386836 35.0400400732336,48.4292657538566 35.0399049559886,48.4296080899733 35.0294078171212,48.4351040689241 35.0308448765876,48.4363020935247 35.0294622915035,48.438041122478 35.0303167227955,48.4388472427946 35.0332552805574,48.4403187260355 35.0337983327703,48.4404647481691 35.0341106722787,48.4405713093885 35.0344388166502,48.4408892539004 35.034971514676,48.4413368022089 35.0359772885411,48.4417551067958 35.0368264923565,48.4420527569424 35.0376814478517,48.4422737474218 35.0393566911639,48.4426124261491 35.040138465915,48.4429462396877 35.0405959787476,48.4433356352849 35.0411712986,48.443976521409 35.0415168102463,48.4446453211756 35.0417084223633,48.4454860563452 35.0419329296228,48.4462320245788 35.0427005229676,48.4471194742688 35.043895988579,48.4481444146885 35.0447577970759,48.4489908664509 35.0455722608579,48.4498240307176 35.0462605887086,48.4502708283793 35.0469020777878,48.4507673007671 35.0477345400649,48.4513753325804 35.0483916919772,48.4520607826566 35.0488831209219,48.4530619532057 35.0491594346914,48.4541991868871 35.0492487873602,48.4549503363113 35.0492039140015,48.4551710748809 35.0488013120222,48.4553383648934 35.0488242352918,48.455688959874 35.0488489588114,48.4580183457177 35.0489463846993,48.4583548401207 35.0489859719871,48.4584238499229 35.0499081357831,48.4600532324665 35.0495633721602,48.4603170051176 35.0507966151348,48.4614099257375 35.0520026912664,48.4623478761192 35.0531416817304,48.4625592782197 35.0516109991327,48.4679387025557 35.0514658838171,48.4685259947337 35.0513354835477,48.469234822723 35.0584943739253,48.4796211091688 35.0586646705247,48.4797923039254 35.0536749329377,48.4823012492711 35.0429366376121,48.4727878732243 35.0399213544594,48.4702227119049 35.0372556493299,48.4678823749808 35.036257577588,48.4669701849554 35.0337270951728,48.4649844921671 35.0325840563912,48.464129255272 35.0344019088739,48.4631625873019 35.0389328955051,48.460649465453 35.0357957533273,48.4580259048338 35.0283744719267,48.4519361815781 35.0266026290757,48.4503870857102 35.029171983652,48.4492017994064 35.0279832118925,48.4478621075657 35.0288992334512,48.4476102746384 35.0250303519959,48.4433155511399 35.0195663831161,48.4374104556168 35.0192689103394,48.4370504613836 35.0189308787452,48.4365869206503 35.0172348133071,48.4338417504459 35.0148164645854,48.4295755682724 35.014511877713,48.4289941274492 35.0125381244672,48.4256065241298 35.0086358289635,48.4204528509704 35.0065332485953,48.4176327591458 35.0054527594223,48.4162289648751 35.0022587112426,48.4122991538414 35.001432733426,48.4111643539985 35.0012075448595,48.4080904613476 34.9994356541929,48.4081300015409 34.9982939803005,48.4081343694001 34.9966252617322,48.4081764815821 34.9961795795027,48.408132133196 34.995801553145,48.4079800125022 34.993486911154,48.4066751445236 34.9926866311537,48.4062475125732 34.9914512593009,48.4072611116405 34.9909508912573,48.4081017672998 34.9905368543868,48.4089277932107 34.990412506359,48.4092849072914 34.9884085453559,48.4108212747972 34.988648998224,48.4118346877786 34.9867090908099,48.4121417631442 34.9769842886328,48.4068185641776 34.9751037998158,48.4078423529203 34.9731724370539,48.4077377799484 34.9724052701821,48.406837086386 34.9715674325778,48.4058427866094 34.9704452523007,48.4061945792744 34.9699286555878,48.4063556315295 34.9691371275463,48.4052029201092 34.9672231110249,48.4033557046609 34.966045692973,48.4018896915219 34.9679524124958,48.4012116576727 34.9671752771099,48.4004258820237 34.9658731581535,48.3993329735364 34.9656841112279,48.3988680790503 34.965237123081,48.3980699009156 34.9651042875387,48.3970886930498 
Луганська обл., Новопсковська районна рада	38.91002688,49.81885704 38.89022616,49.81884003 38.84167008,49.79495898 38.84031216,49.78551699 38.80285092,49.77781704 38.810538,49.76479404 38.79358884,49.75217802 38.77814808,49.71483801 38.81700216,49.70681397 38.82354516,49.71851199 38.84331816,49.71449502 38.85819696,49.72372902 38.87587908,49.72352499 38.90258496,49.71905496 38.92445316,49.70108997 38.95808508,49.68087804 38.95844004,49.67143704 38.95359516,49.66694001 38.93768496,49.65119901 38.94738012,49.65052896 38.94738984,49.64086404 38.93320008,49.63995801 38.93355396,49.63411404 38.91901212,49.638375 38.93079708,49.62601998 38.94705612,49.62985002 38.94879312,49.62288303 38.91211992,49.62196197 38.89698588,49.57969203 38.89910196,49.55923899 38.91019284,49.54104198 38.92195008,49.532958 38.90342196,49.47135498 38.88518508,49.45245696 38.87037108,49.44794598 38.8656,49.42771002 38.873871,49.42727001 38.89767492,49.41493101 38.90079216,49.407066 38.95039692,49.40619903 38.95453584,49.40035596 38.97175896,49.39631604 38.97313308,49.40395902 38.99999988,49.39542 39.01377384,49.39137297 39.02754096,49.37653503 39.13622892,49.34139201 39.15280584,49.36205097 39.11016708,49.378284 39.14193816,49.41241596 39.15715392,49.43037897 39.18399804,49.420449 39.19437216,49.42987299 39.20951484,49.42490103 39.25104408,49.45966002 39.26825784,49.454451 39.28558212,49.46902002 39.29729004,49.46584401 39.31673184,49.48579701 39.32361504,49.48308099 39.36606516,49.53128202 39.36691188,49.55218299 39.38123592,49.57259103 39.37127616,49.58093997 39.37894884,49.58968203 39.42586296,49.57715601 39.47768784,49.64528502 39.45349116,49.64897898 39.42988884,49.641876 39.40933104,49.66689996 39.39484608,49.67436798 39.38250816,49.69104201 39.41051004,49.72466196 39.438846,49.71421899 39.47018616,49.72893102 39.48534396,49.71897801 39.499155,49.713525 39.50117892,49.70812203 39.54242592,49.73940396 39.49954704,49.75173396 39.48016896,49.756761 39.44550492,49.760046 39.41352792,49.753422 39.380112,49.73915097 39.35931984,49.74146496 39.31430184,49.75238502 39.28726188,49.75560198 39.27623184,49.76821602 39.25752084,49.77365301 39.24578916,49.78716498 39.23960184,49.79976399 39.22921908,49.80697803 39.22863912,49.831254 39.19201812,49.88481399 39.18229416,49.88887497 39.13212204,49.86107298 39.11120496,49.83681996 39.07225584,49.81887 39.01945392,49.82068899 38.99999988,49.81349799 38.951388,49.796406 38.92915692,49.802238 38.91002688,49.81885704 
Львівська обл., Самбірська міська рада	23.18667516,49.52016297 23.18090292,49.51781298 23.17282812,49.51464597 23.16723516,49.51204596 23.162031,49.509684 23.15645496,49.50745299 23.15184588,49.50569403 23.14989396,49.50425502 23.14849212,49.50243702 23.14781712,49.49999001 23.17162104,49.508766 23.180832,49.51203399 23.18269896,49.507326 23.18409216,49.50471699 23.18521284,49.50444996 23.18712192,49.504905 23.18801004,49.50365796 23.19391404,49.50477603 23.20629516,49.50712098 23.20962984,49.50570402 23.21283708,49.50564201 23.21663292,49.50606096 23.21810316,49.50517203 23.22236592,49.50754902 23.22394308,49.50899397 23.225742,49.51117296 23.23047996,49.51563201 23.23484604,49.52022003 23.23820088,49.52335203 23.24234016,49.52708397 23.244147,49.52938599 23.24648592,49.53093903 23.250186,49.53332601 23.25367908,49.54346604 23.23991196,49.54410297 23.23473192,49.53830103 23.22774108,49.538313 23.232996,49.53341502 23.225301,49.53454803 23.21951184,49.540194 23.21794512,49.53899502 23.223762,49.53396303 23.218065,49.53333501 23.20988616,49.53213999 23.207283,49.53723201 23.20576092,49.53701502 23.20311816,49.53706596 23.20216308,49.53683799 23.20099704,49.53612303 23.20056396,49.53490101 23.201208,49.53242898 23.199381,49.53381696 23.19825996,49.53408498 23.19768792,49.53397203 23.19557184,49.53315204 23.19343488,49.53184002 23.18822208,49.52935701 23.18713308,49.53036096 23.18268096,49.52798604 23.18083884,49.52482398 23.18667516,49.52016297 
Київська обл., Обухівська міська рада	30.51277992,50.24717802 30.51410796,50.24080503 30.51381096,50.23090296 30.49470504,50.23502397 30.47801004,50.22332397 30.47210604,50.20763598 30.48768792,50.16436497 30.49997112,50.15698704 30.50213796,50.15568501 30.50011188,50.15429298 30.49941312,50.15427804 30.47289984,50.15280402 30.47048388,50.14555902 30.45869892,50.14350297 30.45816684,50.14034397 30.45122784,50.13929304 30.44271492,50.11527699 30.45573792,50.10702201 30.47051988,50.105097 30.48192684,50.100849 30.47760612,50.08996503 30.45844188,50.082354 30.44443212,50.069907 30.44712096,50.05872702 30.45549204,50.05890999 30.47038704,50.04125298 30.46201992,50.04107001 30.46499784,50.03753796 30.45790296,50.000067 30.45739608,49.99645899 30.46718412,49.98273597 30.48894288,49.96657404 30.49329096,49.93654599 30.50024904,49.93669602 30.51411912,49.93789401 30.52847916,49.94314596 30.52951992,49.93642404 30.53926116,49.93663203 30.54084516,49.94655597 30.55429584,49.94234496 30.61982484,49.94146098 30.62936988,49.94570304 30.62565792,49.96450899 30.64328388,49.96037304 30.66188616,49.964796 30.64275108,49.98553902 30.65720508,49.98942801 30.66443316,49.98417903 30.69992592,50.00017401 30.70807488,50.00483196 30.70585584,50.00748498 30.78277812,50.03370801 30.80689704,50.02517502 30.82483512,50.01427296 30.82087584,50.00925402 30.82757508,49.99993803 30.83632092,49.99156002 30.84732792,49.99491198 30.84639084,50.00028903 30.84328188,50.00742504 30.84306588,50.04338598 30.85097508,50.05387296 30.85071408,50.05971198 30.86791884,50.08115898 30.873564,50.07991401 30.87956916,50.08631796 30.88196496,50.09535297 30.92283396,50.10373404 30.910257,50.11969203 30.88918584,50.13774297 30.87628812,50.14470096 30.8547,50.14250604 30.86079012,50.14711404 30.85923096,50.15068101 30.82074192,50.15086398 30.818358,50.15711304 30.79991196,50.16260997 30.77283096,50.15804697 30.76665084,50.17051602 30.74580216,50.19708699 30.75099804,50.20572996 30.74433984,50.21324298 30.71905704,50.21454699 30.71044188,50.21887401 30.71088396,50.22427698 30.72210084,50.23888299 30.71322396,50.24859903 30.692304,50.26077297 30.67912296,50.25781296 30.66329412,50.26603797 30.64421988,50.26879998 30.63994812,50.27860296 30.61574388,50.27721003 30.62041884,50.26786497 30.62835,50.26353102 30.62796192,50.25723003 30.64776084,50.23964997 30.64371408,50.23642104 30.64621284,50.228379 30.594339,50.21472798 30.59268984,50.23357596 30.58841808,50.248773 30.57802092,50.26024503 30.54233988,50.25859704 30.53325708,50.25795399 30.51693504,50.26165299 30.51277992,50.24717802 
Сумська обл., Липоводолинська районна рада	33.77550492,50.69103003 33.77818692,50.68202301 33.76595592,50.66951904 33.75685692,50.67542196 33.74559,50.67864 33.73271784,50.66973297 33.73337016,50.66613297 33.731829,50.65805196 33.72399,50.65405596 33.72671412,50.64729696 33.72241788,50.64372801 33.72233508,50.63833503 33.704559,50.63125203 33.68982492,50.63853204 33.63626196,50.59748502 33.65443404,50.58389997 33.635241,50.57411796 33.62405004,50.58181899 33.616197,50.57511903 33.60766392,50.57021997 33.609006,50.56481898 33.60401388,50.56080003 33.61937796,50.54858298 33.60800484,50.54190102 33.59824416,50.55094098 33.58688508,50.54515497 33.59176596,50.54063598 33.58396908,50.537529 33.58248696,50.53169304 33.55849584,50.53046202 33.55976808,50.51877003 33.54707304,50.51838096 33.548301,50.50264302 33.55881912,50.49809802 33.567984,50.49850302 33.57358416,50.49532998 33.615045,50.48657802 33.61640112,50.48252496 33.62976108,50.48065602 33.71973012,50.46754896 33.73578612,50.45845896 33.78581712,50.46082803 33.79015404,50.46754104 33.78960684,50.47698402 33.80865408,50.478651 33.82984692,50.482098 33.82643484,50.48841501 33.839883,50.49191502 33.84548712,50.49007596 33.85128492,50.49902403 33.84574416,50.50445796 33.82749216,50.50863504 33.81691284,50.50826001 33.81281604,50.51592999 33.82060788,50.51812203 33.82338096,50.51540601 33.84319716,50.51975904 33.84043308,50.52292497 33.877989,50.53298598 33.88005396,50.53027401 33.89350212,50.53286799 33.898284,50.52474099 33.91360308,50.51473299 33.92571708,50.52138003 33.955146,50.54721201 33.99914412,50.52616596 34.02140292,50.51203902 34.03336392,50.51103498 34.03029096,50.49937503 34.03605492,50.50516698 34.05166812,50.50997199 34.05931992,50.50540701 34.06291416,50.50852101 34.05596688,50.51307897 34.06380984,50.51705301 34.10721612,50.50406304 34.09353684,50.49160596 34.08572592,50.48898201 34.10033112,50.48075403 34.105293,50.48205597 34.10946612,50.47976898 34.11964512,50.49315603 34.12075284,50.51022597 34.14127716,50.51362302 34.15913784,50.52333501 34.18176312,50.52580398 34.19722584,50.52384801 34.20641304,50.52465297 34.22077812,50.53484097 34.23045096,50.527098 34.24588884,50.52423699 34.24876812,50.52645297 34.24401,50.53324698 34.24030992,50.553513 34.22834316,50.554539 34.22661192,50.56939098 34.23369096,50.57021502 34.22452284,50.59773099 34.23027708,50.60171502 34.19775288,50.62812498 34.18610508,50.64262704 34.18619508,50.646222 34.15118688,50.66005797 34.14426984,50.66641899 34.120701,50.686425 34.08298884,50.70790701 34.07315292,50.71114404 34.00589592,50.71084497 34.00026192,50.71224204 33.94817604,50.72706 33.92894412,50.721372 33.90695388,50.71929696 33.85595088,50.71788504 33.84267912,50.72787 33.82564608,50.72574501 33.81622308,50.71322601 33.80269716,50.70882501 33.805413,50.70206403 33.80177484,50.69624598 33.77550492,50.69103003 
Хмельницька обл., Нетішинська міська рада	26.65796112,50.33012103 26.65869984,50.32781199 26.66351916,50.32736298 26.66496996,50.32644201 26.67484296,50.32646901 26.67626388,50.33017098 26.68179996,50.33064798 26.68229784,50.32802898 26.691201,50.32928502 26.68344012,50.33773998 26.680059,50.33911797 26.66656008,50.34062403 26.66391192,50.34030804 26.65740816,50.34029004 26.65618992,50.34229002 26.65257012,50.34320397 26.65088208,50.34350799 26.64774684,50.34396096 26.64290196,50.34764502 26.64312912,50.34949497 26.63398908,50.34746502 26.63350308,50.34807999 26.63132292,50.34961404 26.62819596,50.348988 26.627706,50.35006602 26.62626096,50.34990699 26.62600896,50.35144698 26.62262784,50.35236102 26.62096212,50.34973698 26.60579208,50.34876399 26.59713012,50.34734901 26.5923,50.34871899 26.59111812,50.34609603 26.59067784,50.34100896 26.59790088,50.34149604 26.61117696,50.33799504 26.611911,50.33661003 26.61890292,50.33570796 26.61959592,50.33956203 26.62031808,50.33956401 26.62903692,50.333427 26.63313084,50.33343996 26.63410608,50.33190204 26.64037404,50.33099601 26.64108396,50.33269296 26.64373608,50.332392 26.64327096,50.33007999 26.64351288,50.329926 26.65243584,50.32810296 26.65221588,50.325174 26.65317708,50.32548504 26.65438992,50.324256 26.65535508,50.32395 26.65580184,50.32888299 26.65626984,50.33088702 26.65721808,50.33304702 26.65866492,50.332743 26.65796112,50.33012103 
