Регіон	Тип ради	Партія	Кількість голосів, поданих за партію	Кількість мандатів	Вакантні мандати
Україна, Вінницька обласна рада	Обласна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	176832	27	0
Україна, Вінницька обласна рада	Обласна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	112601	17	0
Україна, Вінницька обласна рада	Обласна рада	Радикальна партія Олега Ляшка	61751	9	0
Україна, Вінницька обласна рада	Обласна рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	45418	7	0
Україна, Вінницька обласна рада	Обласна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	41670	6	0
Україна, Вінницька обласна рада	Обласна рада	Аграрна партія України	40545	6	0
Україна, Вінницька обласна рада	Обласна рада	"Політична Партія ""Опозиційний блок"""	37656	6	0
Україна, Вінницька обласна рада	Обласна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	35889	6	0
Україна, Вінницька обласна рада	Обласна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	25078	0	0
Україна, Вінницька обласна рада	Обласна рада	"Політична партія ""Наш край"""	20650	0	0
Україна, Вінницька обласна рада	Обласна рада	"Політична партія ""Нова держава"""	5594	0	0
Україна, Вінницька обласна рада	Обласна рада	"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""	4270	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1904	7	0
Вінницька обл., Козятинська міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1454	6	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	1034	4	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Сила людей"""	1020	4	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Наш край"""	733	3	0
Вінницька обл., Козятинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	712	3	0
Вінницька обл., Козятинська міська рада	Міська рада	Радикальна партія Олега Ляшка	698	3	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""КОНКРЕТНИХ СПРАВ"""	541	2	0
Вінницька обл., Козятинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	496	2	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Нова держава"""	462	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Європейська партія України"""	314	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	291	0	0
Вінницька обл., Козятинська міська рада	Міська рада	"Політична партія ""Громадянська позиція"""	144	0	0
Вінницька обл., Ладижинська міська рада	Міська рада	"Політична партія ""Наш край"""	2225	7	0
Вінницька обл., Ладижинська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1740	6	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1379	5	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ"" "	796	3	0
Вінницька обл., Ладижинська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	694	2	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	466	2	0
Вінницька обл., Ладижинська міська рада	Міська рада	Радикальна партія Олега Ляшка	456	1	0
Вінницька обл., Ладижинська міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	331	0	0
Вінницька обл., Ладижинська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНА ОПОЗИЦІЯ"""	52	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ВІННИЦЬКА ЄВРОПЕЙСЬКА СТРАТЕГІЯ"""	28970	20	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	15368	10	0
Вінницька обл., Вінницька міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	12729	9	0
Вінницька обл., Вінницька міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	9760	6	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	7489	5	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	5470	4	0
Вінницька обл., Вінницька міська рада	Міська рада	Радикальна партія Олега Ляшка	5215	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	5128	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	4462	0	0
Вінницька обл., Вінницька міська рада	Міська рада	Партія Пенсіонерів України	3558	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УНА-УНСО"""	2069	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Громадянська позиція"""	2031	0	0
Вінницька обл., Вінницька міська рада	Міська рада	політична партія Народний Рух України	1472	0	0
Вінницька обл., Вінницька міська рада	Міська рада	Аграрна партія України	993	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Сила людей"""	702	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Європейська партія України"""	632	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ"""	597	0	0
Вінницька обл., Вінницька міська рада	Міська рада	"Політична партія ""Наш край"""	503	0	0
Вінницька обл., Жмеринська міська рада	Міська рада	"Політична партія ""НОВА ПОЛІТИКА"""	2391	7	0
Вінницька обл., Жмеринська міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1835	6	0
Вінницька обл., Жмеринська міська рада	Міська рада	Народна Партія	1401	4	0
Вінницька обл., Жмеринська міська рада	Міська рада	"Політична партія ""Наш край"""	1249	4	0
Вінницька обл., Жмеринська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1157	4	0
Вінницька обл., Жмеринська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	977	3	0
Вінницька обл., Жмеринська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	797	2	0
Вінницька обл., Жмеринська міська рада	Міська рада	Радикальна партія Олега Ляшка	686	2	0
Вінницька обл., Жмеринська міська рада	Міська рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	650	2	0
Вінницька обл., Жмеринська міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	574	0	0
Вінницька обл., Жмеринська міська рада	Міська рада	Аграрна партія України	283	0	0
Вінницька обл., Жмеринська міська рада	Міська рада	"Політична партія ""Нова держава"""	241	0	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	2557	11	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1971	8	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	985	4	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	Радикальна партія Олега Ляшка	810	3	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"Політична партія ""Наш край"""	721	3	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	688	3	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	514	2	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"Політична партія ""Нова держава"""	180	0	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"Політична партія ""ГРОМАДА І ЗАКОН"" "	177	0	0
Вінницька обл., Могилів-Подільська міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	161	0	0
Вінницька обл., Хмільницька міська рада	Міська рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	1302	6	0
Вінницька обл., Хмільницька міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1282	6	0
Вінницька обл., Хмільницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	976	4	0
Вінницька обл., Хмільницька міська рада	Міська рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	940	4	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична партія ""НОВА ПОЛІТИКА"""	814	4	0
Вінницька обл., Хмільницька міська рада	Міська рада	політична партія Єдиний Центр	775	3	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична партія ""Європейська партія України"""	670	3	0
Вінницька обл., Хмільницька міська рада	Міська рада	Радикальна партія Олега Ляшка	523	2	0
Вінницька обл., Хмільницька міська рада	Міська рада	Аграрна партія України	477	2	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична партія ""Громадянська позиція"""	445	0	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична партія ""Наш край"""	363	0	0
Вінницька обл., Хмільницька міська рада	Міська рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	339	0	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична Партія ""Опозиційний блок"""	219	0	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична партія ""Нова держава"""	108	0	0
Вінницька обл., Хмільницька міська рада	Міська рада	"Політична партія ""КОНКРЕТНИХ СПРАВ"""	55	0	0
Вінницька обл., Барська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	5820	9	0
Вінницька обл., Барська районна рада	Районна рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	3421	6	0
Вінницька обл., Барська районна рада	Районна рада	Народна Партія	3337	5	0
Вінницька обл., Барська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	3199	5	0
Вінницька обл., Барська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1718	3	0
Вінницька обл., Барська районна рада	Районна рада	Партія промисловців і підприємців України	1455	2	0
Вінницька обл., Барська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	1334	2	0
Вінницька обл., Барська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1177	2	0
Вінницька обл., Барська районна рада	Районна рада	"Політична партія ""Наш край"""	446	0	0
Вінницька обл., Барська районна рада	Районна рада	"Політична партія ""Нова держава"""	213	0	0
Вінницька обл., Бершадська районна рада	Районна рада	Аграрна партія України	7262	11	0
Вінницька обл., Бершадська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	3943	6	0
Вінницька обл., Бершадська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	3772	6	0
Вінницька обл., Бершадська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	2279	4	0
Вінницька обл., Бершадська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	2048	3	0
Вінницька обл., Бершадська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1391	2	0
Вінницька обл., Бершадська районна рада	Районна рада	Радикальна партія Олега Ляшка	1326	2	0
Вінницька обл., Бершадська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1230	0	0
Вінницька обл., Бершадська районна рада	Районна рада	"Політична партія ""Наш край"""	1131	0	0
Вінницька обл., Бершадська районна рада	Районна рада	Партія ветеранів Афганістану	1061	0	0
Вінницька обл., Вінницька районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	8430	11	0
Вінницька обл., Вінницька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	7272	10	0
Вінницька обл., Вінницька районна рада	Районна рада	Народна Партія	4954	6	0
Вінницька обл., Вінницька районна рада	Районна рада	Радикальна партія Олега Ляшка	2691	4	0
Вінницька обл., Вінницька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	2150	3	0
Вінницька обл., Вінницька районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1831	2	0
Вінницька обл., Вінницька районна рада	Районна рада	політична партія Народний Рух України	1275	0	0
Вінницька обл., Вінницька районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	903	0	0
Вінницька обл., Вінницька районна рада	Районна рада	"Політична партія ""Наш край"""	839	0	0
Вінницька обл., Вінницька районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	758	0	0
Вінницька обл., Вінницька районна рада	Районна рада	Аграрна партія України	641	0	0
Вінницька обл., Вінницька районна рада	Районна рада	Українська партія честі, боротьби з корупцією та організованою злочинністю	408	0	0
Вінницька обл., Гайсинська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	5154	9	0
Вінницька обл., Гайсинська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	4565	8	0
Вінницька обл., Гайсинська районна рада	Районна рада	Аграрна партія України	4246	8	0
Вінницька обл., Гайсинська районна рада	Районна рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	2251	4	0
Вінницька обл., Гайсинська районна рада	Районна рада	Радикальна партія Олега Ляшка	1513	3	0
Вінницька обл., Гайсинська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1104	2	0
Вінницька обл., Гайсинська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1006	0	0
Вінницька обл., Гайсинська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	968	0	0
Вінницька обл., Гайсинська районна рада	Районна рада	"Політична партія ""Наш край"""	430	0	0
Вінницька обл., Гайсинська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""НАРОДНА ОПОЗИЦІЯ"""	201	0	0
Вінницька обл., Жмеринська районна рада	Районна рада	"Політична партія ""Наш край"""	4616	11	0
Вінницька обл., Жмеринська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	3747	9	0
Вінницька обл., Жмеринська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	2650	6	0
Вінницька обл., Жмеринська районна рада	Районна рада	Радикальна партія Олега Ляшка	1050	2	0
Вінницька обл., Жмеринська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	991	2	0
Вінницька обл., Жмеринська районна рада	Районна рада	політична партія Народний Рух України	923	2	0
Вінницька обл., Жмеринська районна рада	Районна рада	Аграрна партія України	914	2	0
Вінницька обл., Жмеринська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	710	0	0
Вінницька обл., Жмеринська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	400	0	0
Вінницька обл., Жмеринська районна рада	Районна рада	"Політична партія ""Нова держава"""	246	0	0
Вінницька обл., Іллінецька районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	5618	12	0
Вінницька обл., Іллінецька районна рада	Районна рада	"Політична партія ""Громадянська позиція"""	3442	8	0
Вінницька обл., Іллінецька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	3156	7	0
Вінницька обл., Іллінецька районна рада	Районна рада	Аграрна партія України	2064	5	0
Вінницька обл., Іллінецька районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1013	2	0
Вінницька обл., Іллінецька районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	791	0	0
Вінницька обл., Іллінецька районна рада	Районна рада	Радикальна партія Олега Ляшка	778	0	0
Вінницька обл., Іллінецька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	376	0	0
Вінницька обл., Іллінецька районна рада	Районна рада	"Політична партія ""Нова держава"""	134	0	0
Вінницька обл., Калинівська районна рада	Районна рада	"Політична партія ""Наш край"""	7533	12	0
Вінницька обл., Калинівська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	5202	8	0
Вінницька обл., Калинівська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	4848	7	0
Вінницька обл., Калинівська районна рада	Районна рада	Радикальна партія Олега Ляшка	2028	3	0
Вінницька обл., Калинівська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	1549	2	0
Вінницька обл., Калинівська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	1326	2	0
Вінницька обл., Калинівська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1216	0	0
Вінницька обл., Калинівська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	671	0	0
Вінницька обл., Калинівська районна рада	Районна рада	Аграрна партія України	451	0	0
Вінницька обл., Козятинська районна рада	Районна рада	Аграрна партія України	3885	8	0
Вінницька обл., Козятинська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	3762	8	0
Вінницька обл., Козятинська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	3479	8	0
Вінницька обл., Козятинська районна рада	Районна рада	"Політична партія ""Європейська партія України"""	2543	5	0
Вінницька обл., Козятинська районна рада	Районна рада	Радикальна партія Олега Ляшка	2238	5	0
Вінницька обл., Козятинська районна рада	Районна рада	"Політична партія ""КОНКРЕТНИХ СПРАВ"""	794	0	0
Вінницька обл., Козятинська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	736	0	0
Вінницька обл., Козятинська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	647	0	0
Вінницька обл., Козятинська районна рада	Районна рада	"Політична партія ""Нова держава"""	150	0	0
Вінницька обл., Крижопільська районна рада	Районна рада	Аграрна партія України	4017	11	0
Вінницька обл., Крижопільська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	2710	8	0
Вінницька обл., Крижопільська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	2603	7	0
Вінницька обл., Крижопільська районна рада	Районна рада	Радикальна партія Олега Ляшка	1082	3	0
Вінницька обл., Крижопільська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	927	3	0
Вінницька обл., Крижопільська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	856	2	0
Вінницька обл., Крижопільська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	519	0	0
Вінницька обл., Крижопільська районна рада	Районна рада	"Політична партія ""Наш край"""	170	0	0
Вінницька обл., Липовецька районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	4771	10	0
Вінницька обл., Липовецька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	4568	10	0
Вінницька обл., Липовецька районна рада	Районна рада	Радикальна партія Олега Ляшка	2125	5	0
Вінницька обл., Липовецька районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1830	4	0
Вінницька обл., Липовецька районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1223	3	0
Вінницька обл., Липовецька районна рада	Районна рада	Аграрна партія України	1022	2	0
Вінницька обл., Липовецька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	799	0	0
Вінницька обл., Липовецька районна рада	Районна рада	"Політична партія ""Нова держава"""	332	0	0
Вінницька обл., Липовецька районна рада	Районна рада	"Політична партія ""Наш край"""	273	0	0
Вінницька обл., Літинська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	4428	10	0
Вінницька обл., Літинська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	3241	8	0
Вінницька обл., Літинська районна рада	Районна рада	Радикальна партія Олега Ляшка	2924	7	0
Вінницька обл., Літинська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1545	4	0
Вінницька обл., Літинська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1444	3	0
Вінницька обл., Літинська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	967	2	0
Вінницька обл., Літинська районна рада	Районна рада	Аграрна партія України	800	0	0
Вінницька обл., Літинська районна рада	Районна рада	"Політична партія ""Наш край"""	583	0	0
Вінницька обл., Літинська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" "	356	0	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	4205	11	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	Аграрна партія України	3113	8	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	2956	8	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	"Політична партія ""Наш край"""	1325	4	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	Радикальна партія Олега Ляшка	1016	3	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	"Політична партія ""Нова держава"""	584	0	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	432	0	0
Вінницька обл., Могилів-Подільська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	332	0	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	4182	13	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	2692	9	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	1554	5	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1332	4	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	Радикальна партія Олега Ляшка	897	3	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	357	0	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	політична партія Народний Рух України	218	0	0
Вінницька обл., Мурованокуриловецька районна рада	Районна рада	Партія Християнсько-Демократичний Союз	160	0	0
Вінницька обл., Немирівська районна рада	Районна рада	Аграрна партія України	6283	13	0
Вінницька обл., Немирівська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	3620	8	0
Вінницька обл., Немирівська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	3619	7	0
Вінницька обл., Немирівська районна рада	Районна рада	Радикальна партія Олега Ляшка	2802	6	0
Вінницька обл., Немирівська районна рада	Районна рада	"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""	1435	3	0
Вінницька обл., Немирівська районна рада	Районна рада	"Політична партія ""Об’єднання ""САМОПОМІЧ"""	1326	3	0
Вінницька обл., Немирівська районна рада	Районна рада	Партія Християнсько-Демократичний Союз	1278	3	0
Вінницька обл., Немирівська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Свобода"""	856	0	0
Вінницька обл., Немирівська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	806	0	0
Вінницька обл., Оратівська районна рада	Районна рада	"Політична партія ""Наш край"""	3071	8	0
Вінницька обл., Оратівська районна рада	Районна рада	Аграрна партія України	2348	6	0
Вінницька обл., Оратівська районна рада	Районна рада	"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"""	2113	5	0
Вінницька обл., Оратівська районна рада	Районна рада	"політична партія Всеукраїнське об’єднання ""Батьківщина"""	1804	5	0
Вінницька обл., Оратівська районна рада	Районна рада	"Політична Партія ""Опозиційний блок"""	716	2	0
